Date,cours
15/3/2018,6739.05
16/3/2018,6742.8
17/3/2018,6404.29
18/3/2018,6681.96
19/3/2018,6972.23
20/3/2018,7290.64
21/3/2018,7223.15
22/3/2018,7080.46
23/3/2018,7226.89
24/3/2018,6924.17
25/3/2018,6550.56
26/3/2018,6303.37
27/3/2018,6451.72
28/3/2018,5746.79
29/3/2018,5540.98
30/3/2018,5623.98
31/3/2018,5528.67
1/4/2018,5741.43
2/4/2018,6053.67
3/4/2018,5530.8
4/4/2018,5524.89
5/4/2018,5392.55
6/4/2018,5610.66
7/4/2018,5724.27
8/4/2018,5506.4
9/4/2018,5534.76
10/4/2018,5608.91
11/4/2018,6421.46
12/4/2018,6385.6
13/4/2018,6489.92
14/4/2018,6777.36
15/4/2018,6498.95
16/4/2018,6389.52
17/4/2018,6602.17
18/4/2018,6714.3
19/4/2018,7212.58
20/4/2018,7255.54
21/4/2018,7171.25
22/4/2018,7313.4
23/4/2018,7896.49
24/4/2018,7277.76
25/4/2018,7651.6
26/4/2018,7363.41
27/4/2018,7692.67
28/4/2018,7749.02
29/4/2018,7647.28
30/4/2018,7546.19
1/5/2018,7691.23
2/5/2018,8097.91
3/5/2018,8088.58
4/5/2018,8191.5
5/5/2018,8026.34
6/5/2018,7847.45
7/5/2018,7735.12
8/5/2018,7825.16
9/5/2018,7540.29
10/5/2018,7036.99
11/5/2018,7099.5
12/5/2018,7280.3
13/5/2018,7264.42
14/5/2018,7173.58
15/5/2018,7063.92
16/5/2018,6847.07
17/5/2018,7006.31
18/5/2018,6997.04
19/5/2018,7233.78
20/5/2018,7127.44
21/5/2018,6786.71
22/5/2018,6413.4
23/5/2018,6473.4
24/5/2018,6415.96
25/5/2018,6297.91
26/5/2018,6283.5
27/5/2018,6118.18
28/5/2018,6471.16
29/5/2018,6342.95
30/5/2018,6408.47
31/5/2018,6448.54
1/6/2018,6547.54
2/6/2018,6616.42
3/6/2018,6407.54
4/6/2018,6503.14
5/6/2018,6495.83
6/6/2018,6519.55
7/6/2018,6476.92
